Label,Text
depressive,কারণ আমরা একলাফে চাকরি পাওয়ার সপ্ন দেখি ছোটখাট চাকরিগুল এড়িয়ে যাই ফলে মার্কেট আমাদের উপর ভরসা করতে পারে না।
non_depressive,"অরন্যদেব ছবিতে যে ছিল আমার কন্যা , সে আজ থেকে ভূমিকন্যা "
depressive,ঢাকার কষ্টের আরেক নাম ব্যাচেলর জীবন
non_depressive,ইয়াশ রোহানতটিনী সেরা জুটিতটিনীকে আমার অনেক ভালো লাগেনাটকের নাম শেষ কিছুদিন দেখে অনেক কিছু ভেবেছি তাই মনযোগ দিয়ে দেখছি শেষ কিছুদিন হবে
depressive,জনগণের ভোট চুরি করে ক্ষমতায় আসা ওই নিয়ত আমাদের নাই আওয়ামী লীগ নেত্রী শেখ হাসিনা এভাবে নৌকার পক্ষে ভোটে ডাকাতি করছেন লজ্জা লাগেনা ছিঃ বাসদ নেত্রী ড মনীষা চক্রবর্তী । 
non_depressive,বেটা ডলার পাওয়ার আসায় এমন মিউজিক দিলো।
depressive,আমি সময় অনুমান করি আমি কোন কারণে অসন্তুষ্ট।আমি সময় অনুমান করি আমি যেটা প্রয়োজন তাতে আমি সেটা করতে পারবো
non_depressive,আগে সময় আফরান নিশু মেহজাবীন নাটক দেখতাম। এখন এদের জুটি দুজনকেই খুব ভালো লাগে
depressive,আমার মাথা ব্যাথা চলতেছে তাহলে কারণেই
non_depressive,জুন  জীবনের সবথেকে স্মরণীয় দিন
depressive,ভুলে গেলেই ভুলা যায়
non_depressive,যেমন তেমন ড্রাইভার লাইসেন্স দেওয়া হয় টাকার বিনিময়ে।এই দেশ ঠিক হবে কিভাবে।
depressive,মনের নিশ্চিত অনুভুতি এখন শূন্যের জগতে ভ্রমণ করে ফিরে আসার কোনো সম্ভাবনা নেই।
non_depressive,বঙ্গবন্ধু শেখ মুজিবুর রহমান করছো উনারা তাই ভালোবাসেন এবং তাই শেখ মুজিবুর রহমানকে স্মরণ করে এগুচ্ছে তারা
depressive,আমি আমার নিজের মাঝে আত্মহত্যা করতে চাই কিন্তু আমি অসমর্থ।টাকা থাকলে শান্তিতে মরাও যায় ভাই। এটাই সত্যি
non_depressive,অশিক্ষা কুশিক্ষা প্রদান করার কারণে শিক্ষাত মানুষ গুলো চাকুরী পায়নাদ্বিতীয়ত গুষ দুর্নীতি সজন প্রতির কারণে চাকুরী পায়না।
depressive,জুম্মা মোবারক নামাজের একটা সেল্পি সবাই লাইক কমান্ড কলেন
non_depressive,উন্নয়ন উন্নয়ন উন্নয়ন
