statement,label
কারণ আমরা একলাফে চাকরি পাওয়ার সপ্ন দেখি ছোটখাট চাকরিগুল এড়িয়ে যাই ফলে মার্কেট আমাদের উপর ভরসা করতে পারে না।,vulnerable
ঢাকার কষ্টের আরেক নাম ব্যাচেলর জীবন,vulnerable
জনগণের ভোট চুরি করে ক্ষমতায় আসা ওই নিয়ত আমাদের নাই আওয়ামী লীগ নেত্রী শেখ হাসিনা এভাবে নৌকার পক্ষে ভোটে ডাকাতি করছেন লজ্জা লাগেনা ছিঃ বাসদ নেত্রী ড মনীষা চক্রবর্তী । ,vulnerable
আমি সময় অনুমান করি আমি কোন কারণে অসন্তুষ্ট।আমি সময় অনুমান করি আমি যেটা প্রয়োজন তাতে আমি সেটা করতে পারবো,vulnerable
আমার মাথা ব্যাথা চলতেছে তাহলে কারণেই,vulnerable
ভুলে গেলেই ভুলা যায়,vulnerable
মনের নিশ্চিত অনুভুতি এখন শূন্যের জগতে ভ্রমণ করে ফিরে আসার কোনো সম্ভাবনা নেই।,vulnerable
আমি আমার নিজের মাঝে আত্মহত্যা করতে চাই কিন্তু আমি অসমর্থ।টাকা থাকলে শান্তিতে মরাও যায় ভাই। এটাই সত্যি,vulnerable
জুম্মা মোবারক নামাজের একটা সেল্পি সবাই লাইক কমান্ড কলেন,vulnerable
বিশ্রী এ শহরে থাকতে চাইনা আমি । হারিয়ে যেতে চাই তার শহরে । ভয় হয় তার শহরে আবার জলাবদ্ধতা নেই তো ? ,vulnerable
চোখের পানি ধরে রাখতে পারলাম,vulnerable
জীবন নামের শীতল যুদ্ধে কাব্যিক কথা।,vulnerable
"আকর্ষণীয় শ্লোগান আর ব্যানার নিয়ে ট্রাম্প বিরোধী সমাবেশ হয়েছে লন্ডন , ব্রাসেলস , হেলসিংকিতে । কিন্তু সামাজিক মাধ্যমে আলোচনা ছাড়া , এরকম অনুমতি নিয়ে করা বিক্ষোভ সমাবেশ কি আসলে কিছু অর্জন করতে পারে ? ",vulnerable
আমার জীবনে অনেক সময় সমস্যা হারানোর মুখে মুখে আমি একা আমার বিপদে পড়ে থাকি।,vulnerable
নিজের একটি চোখ বিক্রি করে আইফোন কিনে সবাইকে দেখিয়ে বেরাচ্ছেন আমাদের নিমা । পরোটা বাবা ,vulnerable
ঠিকই বলেছেন অমিত শাহ থেকে আমরা নির্যাতিত হয়ে আসছিনাঅনেক কাল আগে থেকেই আমরা নির্যাতিত আসছি,vulnerable
নতুন প্রজন্ম যারা ইউরোপযুক্তরাষ্ট্রের পথে দিবে তাদের জন্য এটা শিক্ষামূলক সিনেমা।এটা আমাদের সবার দেখা উচিত।বাংলাদেশের মানুষ সাকিব খানে আটকে আছে।,vulnerable
কিসের যেন একটা অভাব দেহের ভিতর বসবাস করছে । মাঝে মাঝে অনেক ভাবি কী হতে পারে এটা । ভেবেও কোন কূলকিনারা পাইনা ! ,vulnerable
"প্রানের শহরে চলছে প্রানের সংহার এ যেন মৃত্যু পুরী , বেচেঁ থাকার নাই কোনো অধিকার ! কিছুই তো চাইনি , শুধু চেয়েছি নিরাপত্তা , নিরাপদে একটু বেঁচে থাকার অধিকার ! এই ইচ্ছাটুকু বলবো কার কাছে ? দেখার কেউ কি আছে ? নাকি ক্ষমতাধররা সবাই অমানুষ হয়ে গেছে ? ",vulnerable
যার সাথে মনের মিল নেই,vulnerable
এদেশে আমাদের জিবীনের কোম দাম নেই৷ দোয়া করবেন যেনো দূত দেশ থেকে পালাতে পারি,vulnerable
